amount,channel,hour,is_new_device,device_trust_score,days_since_last_tx,tx_velocity_1h,merchant_risk_score,customer_age,has_chargeback_history,country_risk_score,target
69.92,PIX,3,0,0.453,1.09,2,0.798,60,1,0.423,1
28.56,PIX,2,0,0.239,4.58,1,0.597,30,1,0.172,0
221.78,PIX,7,0,0.106,0.74,1,0.619,43,0,0.262,0
333.88,PIX,20,1,0.362,8.24,0,0.332,43,1,0.036,0
116.69,PIX,3,1,0.921,8.48,0,0.187,46,0,0.4,0
20.81,PIX,17,0,0.583,1.76,2,0.247,32,0,0.359,0
229.38,CARD,2,1,0.524,4.23,4,0.7,27,1,0.26,1
27.28,PIX,8,1,0.195,1.49,0,0.152,33,0,0.341,0
160.44,CARD,12,1,0.337,1.46,1,0.13,29,0,0.825,0
54.67,CARD,3,1,0.733,6.27,3,0.7,27,1,0.883,1
42.78,PIX,9,1,0.452,0.65,0,0.288,37,0,0.011,0
81.64,CARD,6,1,0.195,6.75,2,0.259,40,1,0.592,0
103.03,CARD,1,0,0.65,1.43,1,0.612,26,0,0.422,0
68.05,CARD,0,1,0.575,3.88,1,0.397,38,0,0.021,0
206.4,CARD,3,1,0.153,0.81,1,0.702,24,0,0.202,0
81.33,CARD,17,1,0.315,2.27,1,0.476,24,1,0.494,0
293.59,PIX,0,0,0.691,2.18,2,0.501,39,1,0.585,0
156.5,CARD,12,1,0.31,1.95,2,0.477,35,0,0.535,0
64.86,PIX,0,1,0.706,2.78,1,0.627,45,0,0.723,0
55.74,CARD,5,1,0.686,6.06,3,0.301,43,1,0.45,0
27.58,CARD,4,1,0.407,0.93,1,0.44,44,1,0.592,0
157.85,CARD,8,1,0.409,0.07,0,0.321,41,1,0.31,1
88.31,CARD,17,0,0.095,2.66,2,0.482,46,0,0.755,0
14.37,PIX,10,0,0.286,1.21,0,0.628,54,1,0.845,0
75.03,CARD,0,0,0.188,0.71,2,0.29,26,0,0.381,0
54.0,PIX,3,0,0.338,2.49,1,0.778,35,0,0.252,1
501.75,CARD,7,1,0.495,0.38,2,0.699,27,0,0.193,0
26.25,CARD,6,0,0.223,0.03,0,0.08,30,1,0.696,0
33.21,PIX,13,1,0.15,0.04,1,0.749,24,1,0.159,1
329.96,CARD,8,1,0.401,0.48,1,0.774,49,0,0.001,0
412.03,PIX,17,1,0.361,1.1,0,0.259,29,1,0.622,0
62.15,PIX,6,1,0.327,12.26,2,0.587,50,1,0.49,0
68.79,CARD,16,1,0.653,0.69,0,0.498,33,1,0.253,0
211.58,CARD,2,0,0.247,0.99,2,0.57,45,0,0.566,0
14.96,CARD,23,1,0.491,2.16,1,0.699,41,1,0.013,0
22.76,PIX,23,1,0.4,5.91,1,0.784,18,1,0.561,0
94.38,PIX,6,0,0.398,0.7,3,0.349,31,1,0.548,0
490.24,PIX,5,0,0.702,11.64,2,0.677,18,0,0.79,0
82.09,PIX,0,1,0.484,8.5,2,0.639,34,0,0.602,0
133.07,PIX,23,1,0.306,7.6,2,0.885,51,0,0.621,1
337.11,PIX,0,1,0.354,1.48,2,0.402,36,0,0.452,0
809.32,CARD,0,1,0.381,1.45,0,0.642,35,0,0.272,1
72.3,PIX,2,0,0.195,1.74,1,0.908,48,1,0.283,0
119.68,CARD,7,1,0.563,0.18,0,0.624,18,1,0.346,0
626.31,CARD,23,1,0.539,5.79,0,0.859,18,1,0.337,0
30.88,PIX,3,0,0.293,1.64,2,0.55,37,1,0.633,0
306.38,CARD,13,0,0.242,0.46,1,0.703,23,0,0.291,0
48.59,PIX,15,1,0.421,0.96,0,0.902,31,1,0.933,1
133.25,PIX,19,1,0.278,4.67,1,0.725,37,0,0.589,0
97.67,CARD,16,0,0.472,3.09,1,0.344,43,1,0.172,0
51.31,PIX,23,1,0.184,0.67,2,0.301,49,0,0.54,1
50.16,PIX,15,0,0.579,1.05,2,0.76,44,0,0.199,0
155.83,CARD,20,1,0.329,2.02,4,0.598,35,0,0.383,0
297.67,PIX,7,1,0.686,0.35,1,0.629,27,1,0.622,0
108.12,CARD,9,1,0.291,7.64,1,0.864,57,0,0.721,0
129.43,CARD,17,1,0.397,0.69,0,0.337,44,1,0.324,0
203.17,PIX,21,1,0.157,0.52,1,0.686,28,0,0.007,1
50.68,CARD,0,0,0.323,7.95,0,0.008,55,0,0.335,0
236.45,PIX,10,0,0.408,1.67,0,0.585,32,1,0.477,0
254.02,PIX,19,0,0.435,3.92,2,0.901,44,1,0.412,0
1265.55,CARD,2,1,0.607,3.77,0,0.318,41,1,0.787,0
86.62,PIX,8,0,0.126,1.78,0,0.559,31,1,0.301,0
80.46,CARD,13,0,0.622,0.34,3,0.637,18,0,0.211,0
242.76,PIX,1,1,0.501,0.43,1,0.315,29,1,0.464,0
253.96,PIX,21,1,0.121,0.28,0,0.453,52,0,0.062,0
75.07,CARD,8,0,0.771,1.96,1,0.326,36,1,0.36,0
84.53,CARD,18,1,0.4,5.7,2,0.519,52,1,0.441,0
197.75,PIX,10,0,0.345,2.75,2,0.42,31,1,0.549,0
57.7,CARD,9,0,0.656,4.07,3,0.181,40,0,0.401,0
83.98,PIX,23,0,0.07,2.01,2,0.584,42,1,0.29,0
131.71,PIX,20,0,0.557,0.78,1,0.5,41,1,0.305,0
297.78,CARD,12,0,0.116,1.31,0,0.507,36,1,0.507,0
70.52,CARD,11,0,0.435,0.79,3,0.474,34,1,0.106,0
23.15,PIX,18,1,0.444,12.31,3,0.245,18,0,0.347,0
21.65,CARD,16,1,0.247,0.24,1,0.523,47,0,0.495,0
39.12,PIX,23,0,0.156,3.0,1,0.136,59,0,0.504,0
37.27,CARD,7,0,0.257,1.67,1,0.648,39,1,0.076,0
105.73,CARD,2,0,0.487,0.17,1,0.635,39,0,0.237,0
41.68,PIX,4,0,0.587,2.57,0,0.738,38,1,0.555,0
64.56,PIX,12,1,0.17,3.83,1,0.451,18,1,0.706,0
60.54,CARD,7,0,0.172,10.68,0,0.823,32,1,0.499,0
81.74,CARD,19,1,0.378,1.65,1,0.581,37,0,0.408,0
399.52,PIX,21,0,0.204,6.97,6,0.447,44,0,0.518,0
220.47,PIX,4,0,0.166,0.01,2,0.475,25,1,0.584,0
123.29,PIX,23,0,0.101,6.76,1,0.093,33,1,0.459,0
80.24,CARD,15,0,0.515,0.03,1,0.106,20,0,0.367,0
82.28,CARD,6,1,0.649,7.93,2,0.677,48,1,0.435,0
163.2,CARD,4,1,0.299,0.66,1,0.233,37,0,0.087,0
205.56,PIX,3,1,0.704,5.36,0,0.829,52,0,0.783,0
53.69,CARD,11,0,0.31,3.66,1,0.631,26,0,0.666,0
125.57,PIX,1,1,0.523,2.77,2,0.211,40,1,0.125,1
19.52,PIX,3,0,0.388,0.42,4,0.627,34,1,0.529,0
147.02,PIX,18,0,0.308,0.88,1,0.795,38,1,0.605,0
241.27,PIX,11,1,0.229,8.56,1,0.469,27,1,0.19,0
94.44,CARD,12,1,0.335,0.14,2,0.513,33,1,0.173,0
623.2,PIX,7,1,0.164,3.02,2,0.985,44,0,0.561,1
54.98,PIX,13,1,0.1,1.84,1,0.965,42,1,0.392,0
147.78,CARD,8,0,0.309,1.84,2,0.445,26,1,0.393,1
117.66,PIX,1,1,0.484,6.39,4,0.484,49,0,0.499,0
111.02,PIX,13,0,0.412,2.31,1,0.76,43,1,0.331,0
109.63,PIX,1,1,0.278,2.03,1,0.611,40,1,0.194,0
133.81,PIX,16,0,0.529,1.8,1,0.066,18,1,0.699,0
260.65,PIX,21,0,0.679,0.4,2,0.397,39,0,0.708,0
419.88,CARD,16,0,0.435,6.49,1,0.76,28,0,0.849,0
121.26,PIX,13,1,0.286,2.27,2,0.358,34,0,0.274,0
253.1,PIX,23,1,0.487,5.71,1,0.594,30,1,0.378,0
64.61,CARD,5,0,0.188,18.8,0,0.239,18,0,0.225,0
242.1,PIX,18,1,0.716,1.31,1,0.427,44,1,0.413,0
61.2,CARD,4,1,0.202,1.71,3,0.791,38,0,0.259,0
324.28,PIX,0,0,0.196,13.65,2,0.222,34,1,0.601,0
888.54,CARD,5,1,0.363,0.03,3,0.525,46,1,0.876,1
108.87,PIX,12,1,0.379,0.69,1,0.711,38,0,0.387,0
16.89,CARD,1,0,0.402,1.61,0,0.151,29,0,0.213,0
74.2,CARD,6,1,0.397,4.22,1,0.637,52,1,0.392,0
368.22,CARD,1,0,0.546,0.51,1,0.273,45,0,0.056,0
199.89,CARD,5,1,0.273,2.35,1,0.685,35,1,0.623,1
152.02,PIX,17,1,0.281,1.77,3,0.559,34,0,0.381,0
301.21,PIX,3,0,0.208,1.32,2,0.371,48,0,0.234,0
187.92,CARD,6,0,0.176,4.97,1,0.436,34,1,0.494,0
363.56,CARD,3,0,0.463,0.93,2,0.854,47,1,0.28,0
277.96,PIX,9,0,0.62,1.7,0,0.648,27,0,0.538,0
477.96,CARD,18,0,0.732,1.28,1,0.484,49,1,0.29,0
167.82,CARD,12,1,0.658,6.3,3,0.102,35,0,0.346,0
274.44,CARD,4,1,0.135,1.74,3,0.44,43,0,0.695,0
92.17,CARD,7,0,0.374,0.58,1,0.198,36,1,0.537,0
70.72,CARD,16,1,0.224,1.01,6,0.23,26,0,0.824,0
564.58,PIX,11,0,0.184,0.68,5,0.426,43,1,0.438,0
147.61,CARD,11,0,0.33,0.52,1,0.794,34,0,0.562,0
250.73,PIX,20,0,0.222,2.91,2,0.6,19,1,0.314,0
135.82,PIX,19,0,0.526,13.65,2,0.422,31,1,0.388,0
71.67,CARD,5,1,0.357,0.88,1,0.751,26,1,0.229,0
122.72,CARD,16,1,0.333,0.33,5,0.115,52,1,0.409,0
442.48,PIX,18,1,0.919,1.83,2,0.82,40,1,0.552,0
200.28,CARD,21,0,0.533,0.25,4,0.706,45,0,0.323,0
26.04,PIX,6,1,0.631,2.04,0,0.245,45,1,0.625,0
100.11,PIX,17,1,0.432,2.45,0,0.516,24,0,0.379,0
604.3,CARD,4,1,0.408,1.67,2,0.725,44,1,0.387,0
100.24,CARD,10,0,0.448,1.24,2,0.514,35,0,0.697,0
24.04,PIX,1,0,0.187,4.22,3,0.337,23,0,0.59,0
667.64,PIX,14,0,0.264,0.02,2,0.633,41,0,0.251,0
224.56,CARD,16,0,0.588,1.11,2,0.732,36,1,0.531,0
114.09,PIX,10,0,0.774,2.67,2,0.479,52,1,0.159,0
86.98,CARD,9,0,0.072,0.36,1,0.264,23,0,0.421,0
321.86,PIX,5,1,0.443,4.56,0,0.163,51,1,0.396,0
74.61,CARD,18,0,0.306,0.75,0,0.441,33,0,0.214,0
341.53,PIX,21,1,0.105,2.19,1,0.917,43,0,0.84,0
197.94,PIX,3,0,0.27,5.24,1,0.721,26,0,0.06,0
151.44,PIX,6,1,0.054,1.32,0,0.065,66,0,0.206,1
138.51,CARD,14,0,0.591,0.32,1,0.773,39,0,0.702,0
103.81,CARD,8,1,0.227,5.19,1,0.294,28,0,0.739,0
311.4,PIX,0,1,0.172,1.95,0,0.174,34,0,0.892,0
55.77,PIX,0,0,0.394,2.94,1,0.331,22,1,0.25,0
28.23,PIX,5,0,0.219,0.13,3,0.379,40,1,0.554,0
211.24,CARD,23,0,0.307,14.42,2,0.982,25,1,0.341,1
214.46,PIX,14,1,0.407,9.98,0,0.424,35,0,0.471,0
187.21,CARD,6,0,0.11,0.53,1,0.058,27,0,0.267,0
175.38,PIX,1,1,0.436,5.65,2,0.873,49,1,0.555,0
91.06,CARD,18,1,0.21,1.67,5,0.581,53,0,0.278,0
246.84,CARD,9,1,0.457,0.56,0,0.598,36,0,0.377,0
116.63,PIX,9,0,0.272,1.68,1,0.156,38,0,0.206,0
78.38,PIX,13,1,0.108,3.83,2,0.21,36,0,0.545,0
91.77,CARD,5,0,0.081,1.51,1,0.101,34,0,0.323,0
748.88,PIX,17,1,0.41,1.57,1,0.084,37,1,0.211,0
25.5,CARD,7,0,0.725,0.06,2,0.633,48,1,0.246,0
190.53,CARD,16,0,0.206,0.02,1,0.503,39,1,0.345,0
26.81,PIX,12,0,0.162,1.65,1,0.846,32,1,0.479,0
110.23,CARD,3,1,0.505,6.49,0,0.368,48,1,0.198,0
82.25,PIX,14,0,0.647,4.21,4,0.276,32,0,0.076,0
18.61,CARD,1,0,0.403,4.32,3,0.463,24,1,0.226,0
172.45,PIX,17,0,0.185,0.18,2,0.78,27,0,0.113,0
86.31,PIX,9,0,0.128,0.11,0,0.818,38,0,0.281,0
18.37,PIX,16,1,0.737,0.6,1,0.753,33,1,0.41,0
258.69,PIX,5,1,0.699,1.82,1,0.725,58,0,0.427,0
442.09,PIX,9,0,0.529,0.01,3,0.377,37,1,0.359,1
464.57,PIX,7,1,0.033,3.94,1,0.652,34,1,0.503,0
167.85,CARD,6,1,0.585,1.82,3,0.825,50,0,0.158,0
126.65,PIX,8,0,0.553,5.03,0,0.796,33,1,0.353,0
401.55,PIX,1,1,0.158,1.24,2,0.39,39,1,0.121,0
552.33,PIX,9,1,0.291,7.47,1,0.31,54,1,0.302,0
337.04,PIX,2,1,0.48,3.33,1,0.124,42,0,0.629,0
52.07,PIX,12,1,0.467,7.16,3,0.403,49,0,0.182,0
145.65,PIX,2,0,0.378,1.32,0,0.215,32,0,0.09,0
180.47,CARD,0,0,0.56,8.04,4,0.289,18,1,0.309,0
23.84,CARD,10,1,0.06,1.42,1,0.712,34,1,0.564,0
185.38,CARD,7,0,0.122,3.71,0,0.782,41,1,0.112,0
939.82,PIX,21,0,0.745,8.64,2,0.308,59,0,0.179,0
216.14,CARD,6,0,0.339,0.85,2,0.123,25,0,0.533,0
457.63,CARD,9,1,0.191,0.69,2,0.75,49,0,0.133,0
143.25,CARD,5,1,0.148,0.38,2,0.18,43,0,0.605,0
113.76,PIX,21,0,0.438,3.5,2,0.104,40,1,0.636,0
171.25,PIX,18,1,0.586,0.57,1,0.606,36,0,0.373,0
58.31,PIX,4,0,0.461,3.89,1,0.769,43,0,0.436,0
51.04,PIX,6,0,0.236,4.67,4,0.341,40,1,0.412,0
379.81,CARD,4,1,0.212,0.21,2,0.637,36,1,0.407,1
417.84,PIX,3,1,0.106,9.57,1,0.659,32,0,0.234,0
49.8,PIX,5,0,0.436,0.14,2,0.435,44,0,0.082,0
290.38,PIX,20,1,0.171,0.19,1,0.802,30,0,0.506,0
112.36,PIX,11,1,0.515,0.76,1,0.938,27,0,0.34,0
164.98,PIX,9,0,0.822,4.46,0,0.601,54,1,0.062,0
183.86,PIX,4,0,0.432,2.54,1,0.051,26,0,0.136,0
297.35,PIX,4,1,0.374,5.61,2,0.614,42,1,0.284,0
130.9,PIX,13,0,0.69,0.17,0,0.931,29,1,0.75,0
432.31,CARD,18,1,0.636,2.78,0,0.912,36,1,0.247,0
160.53,CARD,13,1,0.114,1.24,4,0.82,45,1,0.614,1
213.1,CARD,15,0,0.554,4.2,0,0.339,37,1,0.059,0
57.4,CARD,6,1,0.327,1.34,1,0.76,32,1,0.23,0
847.93,PIX,22,1,0.511,3.47,0,0.305,27,1,0.534,0
185.46,CARD,19,1,0.537,0.28,1,0.345,22,0,0.075,0
230.83,CARD,21,0,0.164,0.25,1,0.508,43,0,0.409,0
28.58,PIX,16,1,0.752,1.18,0,0.46,50,0,0.147,0
57.95,PIX,16,0,0.476,2.1,1,0.582,35,0,0.298,0
370.22,CARD,1,1,0.439,3.64,3,0.693,24,1,0.396,0
157.31,PIX,3,0,0.216,2.26,2,0.16,51,1,0.56,0
21.71,CARD,3,1,0.358,7.71,2,0.625,18,0,0.516,1
309.35,PIX,11,0,0.683,2.13,0,0.681,38,1,0.405,0
74.48,PIX,14,1,0.391,1.96,1,0.461,33,0,0.296,0
432.76,CARD,2,1,0.765,0.63,0,0.421,60,1,0.737,0
112.27,CARD,18,0,0.365,0.23,3,0.121,38,1,0.492,0
146.09,CARD,13,0,0.138,7.61,3,0.522,35,0,0.538,1
351.1,CARD,14,1,0.5,7.29,0,0.187,31,0,0.139,0
54.18,CARD,22,0,0.423,0.48,1,0.183,48,0,0.441,0
49.72,PIX,14,0,0.166,10.04,4,0.509,51,1,0.61,0
101.81,CARD,0,1,0.099,12.53,0,0.172,18,0,0.814,0
255.82,PIX,18,1,0.128,0.36,0,0.213,44,1,0.261,1
36.68,PIX,21,0,0.367,8.28,1,0.532,41,1,0.355,0
27.08,CARD,2,1,0.395,0.95,0,0.188,37,1,0.425,0
255.02,PIX,12,0,0.46,0.17,1,0.323,58,0,0.026,0
70.62,CARD,11,0,0.146,1.66,0,0.015,48,1,0.3,0
85.37,PIX,3,0,0.459,0.92,4,0.831,36,0,0.554,0
22.85,PIX,6,0,0.091,0.97,1,0.653,30,0,0.568,0
65.95,PIX,20,1,0.255,4.32,2,0.607,18,0,0.486,0
120.69,CARD,9,0,0.457,0.16,1,0.83,31,0,0.694,0
280.72,CARD,12,0,0.54,6.22,5,0.458,22,0,0.307,0
60.7,PIX,18,1,0.113,1.2,0,0.817,47,0,0.597,0
540.04,PIX,10,0,0.399,1.55,2,0.586,30,0,0.347,0
65.62,PIX,21,1,0.277,8.2,2,0.16,28,0,0.122,0
65.71,PIX,11,1,0.226,12.86,2,0.542,55,1,0.202,0
484.74,CARD,23,0,0.201,1.79,1,0.401,37,1,0.559,0
146.98,CARD,3,0,0.466,0.92,2,0.349,29,0,0.118,0
73.93,PIX,21,0,0.324,2.14,1,0.467,45,1,0.413,0
105.68,PIX,2,1,0.481,1.99,1,0.514,22,1,0.145,0
410.66,CARD,19,0,0.46,0.63,0,0.318,30,1,0.742,0
454.67,PIX,15,1,0.506,0.49,3,0.21,36,1,0.691,1
58.26,PIX,13,0,0.352,1.79,4,0.086,25,1,0.228,0
116.96,CARD,21,1,0.43,3.56,1,0.455,37,0,0.272,0
131.78,PIX,15,1,0.489,2.34,0,0.267,35,1,0.278,0
50.02,PIX,16,0,0.451,3.37,3,0.814,43,0,0.594,0
115.57,PIX,18,0,0.541,4.38,4,0.482,38,0,0.121,0
122.09,CARD,20,1,0.327,5.9,1,0.319,36,1,0.036,0
339.06,PIX,5,0,0.409,0.49,2,0.419,42,0,0.323,0
360.21,CARD,20,0,0.026,2.78,3,0.883,33,0,0.494,0
90.35,PIX,14,0,0.204,1.11,2,0.484,33,1,0.38,1
100.23,PIX,0,0,0.19,3.52,0,0.424,43,1,0.296,0
220.93,CARD,22,1,0.489,2.49,2,0.332,46,1,0.484,0
71.76,PIX,18,1,0.449,12.22,2,0.578,24,0,0.393,0
206.39,PIX,21,0,0.61,5.82,2,0.346,43,1,0.154,0
112.27,PIX,18,0,0.484,2.19,2,0.56,34,1,0.458,0
50.78,CARD,8,0,0.405,1.81,2,0.75,38,1,0.112,0
51.36,PIX,8,0,0.433,1.95,1,0.69,50,1,0.231,0
446.91,CARD,6,1,0.366,0.36,0,0.591,29,1,0.62,0
105.55,PIX,9,1,0.228,0.72,2,0.658,23,0,0.496,0
531.83,PIX,0,0,0.116,1.43,0,0.389,29,0,0.643,0
76.53,PIX,17,0,0.376,0.16,1,0.738,41,0,0.143,0
157.92,PIX,18,0,0.671,0.76,1,0.868,42,1,0.403,0
1046.71,CARD,23,0,0.519,5.98,1,0.839,49,1,0.744,1
46.92,PIX,13,0,0.438,1.5,1,0.528,33,1,0.466,0
22.02,CARD,23,0,0.733,4.27,1,0.823,49,1,0.22,0
386.81,PIX,5,1,0.448,0.6,1,0.351,34,1,0.549,0
57.74,PIX,11,0,0.335,1.34,2,0.698,23,1,0.117,1
119.27,PIX,18,0,0.594,0.55,6,0.871,32,0,0.658,0
71.71,CARD,18,1,0.323,4.04,3,0.2,40,1,0.566,0
154.68,PIX,18,0,0.218,0.28,1,0.111,68,1,0.286,0
51.65,CARD,11,1,0.318,4.06,1,0.599,27,0,0.432,0
103.34,CARD,1,0,0.201,0.54,2,0.64,49,0,0.196,0
182.15,CARD,20,0,0.501,4.45,3,0.308,46,0,0.435,0
49.03,PIX,9,1,0.127,0.14,2,0.366,33,1,0.247,0
64.71,CARD,15,0,0.502,3.49,1,0.451,44,0,0.493,0
88.89,PIX,3,1,0.535,0.02,1,0.609,26,0,0.243,0
33.58,PIX,22,0,0.479,5.17,1,0.821,26,0,0.087,0
83.07,PIX,6,1,0.603,16.16,1,0.474,21,0,0.233,0
135.22,CARD,23,0,0.495,3.7,2,0.467,30,0,0.068,0
84.81,PIX,17,0,0.143,3.02,4,0.53,37,0,0.442,0
95.18,CARD,7,0,0.66,1.66,2,0.505,18,0,0.946,0
119.35,CARD,8,0,0.307,0.05,3,0.601,45,1,0.198,0
67.35,PIX,23,1,0.646,5.52,2,0.324,41,1,0.066,0
226.32,PIX,14,0,0.416,6.77,2,0.257,35,1,0.411,1
442.47,CARD,16,0,0.771,1.95,1,0.29,36,1,0.218,0
80.0,PIX,14,0,0.473,3.44,0,0.207,53,0,0.756,0
188.04,PIX,5,1,0.363,0.38,0,0.925,32,0,0.617,0
97.94,PIX,3,1,0.166,2.04,2,0.819,30,1,0.5,1
168.84,CARD,0,0,0.141,0.52,4,0.179,32,1,0.376,0
497.3,PIX,9,0,0.703,0.96,2,0.825,38,0,0.318,0
192.06,PIX,16,0,0.466,2.11,3,0.582,24,0,0.076,0
24.63,PIX,7,0,0.307,1.37,1,0.244,46,0,0.701,0
182.84,PIX,5,0,0.262,11.12,0,0.373,21,0,0.315,0
368.55,CARD,9,0,0.742,1.14,1,0.448,46,1,0.856,0
99.54,PIX,5,0,0.562,8.88,0,0.587,70,0,0.92,0
297.7,CARD,10,1,0.595,1.64,0,0.43,53,1,0.243,0
65.29,CARD,13,1,0.15,5.15,0,0.643,49,1,0.439,0
31.91,PIX,6,1,0.17,0.73,2,0.242,25,0,0.078,0
137.97,CARD,0,1,0.084,7.09,3,0.943,46,1,0.831,0
25.01,CARD,2,1,0.584,0.2,4,0.619,32,1,0.573,1
97.93,CARD,9,1,0.638,7.25,2,0.381,46,1,0.247,0
386.9,CARD,4,1,0.481,8.12,4,0.752,45,1,0.451,1
21.78,PIX,19,0,0.266,1.86,2,0.893,33,1,0.216,0
38.42,CARD,3,0,0.628,1.94,0,0.571,25,1,0.019,0
48.0,PIX,0,0,0.177,4.15,3,0.658,33,0,0.301,0
114.78,CARD,14,1,0.341,2.61,0,0.637,31,0,0.278,0
87.43,PIX,14,1,0.583,1.46,2,0.692,41,1,0.18,0
428.04,CARD,16,0,0.56,8.03,2,0.215,47,1,0.238,0
286.84,CARD,3,1,0.278,0.76,0,0.56,35,0,0.439,0
189.76,CARD,16,0,0.122,0.01,0,0.498,29,0,0.383,0
138.53,PIX,20,0,0.454,2.61,2,0.933,34,1,0.499,0
173.11,CARD,14,1,0.423,4.01,1,0.806,45,1,0.413,0
55.94,CARD,9,0,0.327,1.99,2,0.478,35,0,0.409,0
262.83,CARD,11,0,0.177,0.63,1,0.581,38,1,0.319,0
44.66,CARD,19,0,0.303,0.52,0,0.803,38,0,0.326,0
257.71,CARD,3,0,0.365,9.43,2,0.341,23,1,0.432,0
353.37,CARD,17,0,0.407,1.41,2,0.478,27,0,0.46,0
146.9,PIX,6,1,0.722,2.03,0,0.434,29,0,0.484,0
103.69,PIX,21,1,0.47,4.16,1,0.795,42,0,0.618,0
174.21,CARD,3,0,0.082,7.89,3,0.941,33,1,0.703,0
9.25,CARD,12,0,0.505,1.04,2,0.496,51,1,0.33,0
159.5,PIX,9,1,0.455,6.49,2,0.317,43,1,0.456,0
109.73,PIX,11,1,0.115,1.13,0,0.343,56,0,0.542,0
116.1,PIX,9,1,0.359,4.38,2,0.602,51,1,0.123,0
229.49,CARD,0,1,0.202,1.03,2,0.298,49,0,0.854,0
113.6,CARD,20,0,0.478,1.65,2,0.898,44,1,0.115,0
43.55,CARD,12,1,0.528,6.29,2,0.422,36,1,0.366,0
106.99,PIX,14,1,0.184,0.7,3,0.639,50,0,0.327,0
129.13,PIX,12,0,0.705,0.4,1,0.582,43,0,0.077,0
134.75,CARD,12,1,0.372,3.22,0,0.872,59,1,0.176,0
140.57,PIX,14,1,0.33,5.01,1,0.316,40,1,0.169,0
309.65,PIX,10,0,0.14,0.62,4,0.879,34,0,0.035,0
45.72,PIX,3,1,0.217,7.08,3,0.343,38,0,0.281,0
142.33,CARD,0,0,0.25,1.99,1,0.553,35,1,0.147,0
387.97,PIX,12,0,0.008,1.77,2,0.967,27,1,0.431,0
25.5,PIX,4,0,0.514,4.14,2,0.645,52,1,0.171,0
142.83,PIX,10,1,0.117,0.26,1,0.667,34,1,0.383,0
71.75,CARD,14,0,0.192,4.38,0,0.436,44,1,0.139,0
87.04,PIX,14,0,0.614,0.47,2,0.189,18,1,0.576,0
53.82,PIX,4,1,0.564,2.8,1,0.121,37,1,0.494,0
104.31,PIX,15,0,0.044,2.24,0,0.059,39,0,0.63,0
637.23,PIX,22,0,0.547,2.01,2,0.427,39,0,0.588,0
38.94,CARD,8,1,0.17,0.55,2,0.146,21,0,0.203,0
42.41,CARD,2,0,0.501,0.44,2,0.483,38,1,0.208,0
37.65,PIX,12,1,0.201,8.06,0,0.654,24,1,0.677,0
575.18,CARD,14,0,0.227,0.58,2,0.182,29,0,0.904,0
80.15,PIX,9,1,0.355,4.78,1,0.792,37,0,0.102,0
118.74,CARD,14,0,0.349,1.54,1,0.475,36,1,0.302,0
84.56,PIX,18,0,0.233,0.04,0,0.309,29,0,0.463,0
51.94,PIX,13,0,0.468,0.87,2,0.254,37,0,0.135,0
98.33,CARD,19,1,0.369,0.96,3,0.355,42,1,0.552,0
1110.34,CARD,3,1,0.614,0.11,1,0.09,58,1,0.226,1
425.33,CARD,7,1,0.567,1.01,2,0.697,39,1,0.695,1
56.39,CARD,13,1,0.057,3.17,1,0.375,30,0,0.501,0
217.63,CARD,6,0,0.581,7.81,2,0.357,53,1,0.334,0
57.49,CARD,23,0,0.026,1.3,0,0.374,42,1,0.027,0
24.56,PIX,16,1,0.435,0.8,3,0.741,48,0,0.159,0
304.16,PIX,9,0,0.729,3.27,2,0.617,27,1,0.196,0
345.19,CARD,18,0,0.986,2.16,0,0.376,28,0,0.51,0
311.51,CARD,23,1,0.327,0.37,2,0.539,20,1,0.163,0
79.61,CARD,0,0,0.281,1.05,3,0.738,45,0,0.469,0
104.57,PIX,13,1,0.713,9.27,4,0.15,53,1,0.325,1
238.6,PIX,10,1,0.081,4.58,1,0.723,29,0,0.62,1
172.84,PIX,18,1,0.423,3.87,1,0.326,43,1,0.136,0
85.26,CARD,7,0,0.522,5.72,4,0.843,45,1,0.245,0
28.3,PIX,7,1,0.661,3.77,1,0.414,39,1,0.081,1
134.62,CARD,18,0,0.539,0.2,1,0.086,48,0,0.363,0
320.89,PIX,21,1,0.403,0.32,0,0.788,36,0,0.716,0
41.35,PIX,3,0,0.446,3.8,3,0.492,29,0,0.344,0
215.91,CARD,14,0,0.408,4.72,2,0.382,23,0,0.615,0
163.76,PIX,18,1,0.475,3.89,0,0.864,40,1,0.271,0
238.68,CARD,3,0,0.502,3.48,2,0.424,24,0,0.611,0
266.34,PIX,15,0,0.233,0.34,2,0.269,44,0,0.544,0
65.04,PIX,23,0,0.157,9.13,0,0.204,32,0,0.274,0
28.35,CARD,20,0,0.564,5.12,1,0.532,26,1,0.601,0
75.18,CARD,4,0,0.4,4.32,1,0.297,41,1,0.774,0
270.48,PIX,23,0,0.523,4.93,2,0.62,33,0,0.677,0
74.6,PIX,8,0,0.413,3.58,3,0.333,40,0,0.57,0
65.06,CARD,11,0,0.41,1.87,3,0.601,34,0,0.756,0
23.59,CARD,6,1,0.237,1.09,5,0.283,39,0,0.615,0
588.39,CARD,16,0,0.244,4.35,2,0.474,31,0,0.296,0
255.48,CARD,3,0,0.749,1.32,0,0.849,25,1,0.349,0
242.96,PIX,17,1,0.545,3.98,3,0.551,23,1,0.431,0
290.31,CARD,1,1,0.702,0.56,0,0.582,27,1,0.742,0
